序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
136,300750,宁德时代,4.33,59.62,15858.84,2024年4季度股票投资明细
137,300760,迈瑞医疗,3.85,55.19,14073.45,2024年4季度股票投资明细
138,002920,德赛西威,2.97,98.65,10862.29,2024年4季度股票投资明细
139,300408,三环集团,2.68,254.99,9819.66,2024年4季度股票投资明细
140,000581,威孚高科,2.53,490.71,9264.67,2024年4季度股票投资明细
141,600887,伊利股份,2.49,302.26,9122.21,2024年4季度股票投资明细
142,601899,紫金矿业,2.47,596.88,9024.83,2024年4季度股票投资明细
143,603606,东方电缆,2.45,170.83,8976.87,2024年4季度股票投资明细
144,600862,中航高科,2.45,354.63,8957.95,2024年4季度股票投资明细
145,002230,科大讯飞,2.38,180.15,8704.85,2024年4季度股票投资明细
146,600522,中天科技,2.27,580.03,8306.08,2024年4季度股票投资明细
147,000725,京东方A,2.07,1728.54,7588.29,2024年4季度股票投资明细
148,601567,三星医疗,2.07,246.58,7584.8,2024年4季度股票投资明细
149,600276,恒瑞医药,2.01,160.01,7344.42,2024年4季度股票投资明细
150,300395,菲利华,1.99,193.76,7287.48,2024年4季度股票投资明细
151,002180,纳思达,1.96,254.16,7159.69,2024年4季度股票投资明细
152,603708,家家悦,1.88,603.13,6869.68,2024年4季度股票投资明细
153,002126,银轮股份,1.84,359.89,6737.13,2024年4季度股票投资明细
154,600031,三一重工,1.84,407.75,6719.72,2024年4季度股票投资明细
155,002475,立讯精密,1.72,154.44,6294.97,2024年4季度股票投资明细
156,002138,顺络电子,1.57,182.42,5742.58,2024年4季度股票投资明细
157,000333,美的集团,1.33,64.68,4865.24,2024年4季度股票投资明细
158,000923,河钢资源,1.28,335.8,4667.62,2024年4季度股票投资明细
159,688016,心脉医疗,1.25,41.65,4575.49,2024年4季度股票投资明细
160,600029,南方航空,1.11,626.19,4063.97,2024年4季度股票投资明细
161,002179,中航光电,1.09,101.69,3996.34,2024年4季度股票投资明细
162,603920,世运电路,1.08,134.81,3963.41,2024年4季度股票投资明细
163,002415,海康威视,1.07,127.15,3903.56,2024年4季度股票投资明细
164,000895,双汇发展,1.01,142.51,3699.56,2024年4季度股票投资明细
165,000338,潍柴动力,1.0,267.25,3661.33,2024年4季度股票投资明细
166,300012,华测检测,0.97,286.23,3557.84,2024年4季度股票投资明细
167,300015,爱尔眼科,0.92,254.65,3374.07,2024年4季度股票投资明细
168,603259,药明康德,0.92,61.18,3367.35,2024年4季度股票投资明细
169,002850,科达利,0.9,33.86,3307.44,2024年4季度股票投资明细
170,000792,盐湖股份,0.88,195.56,3218.84,2024年4季度股票投资明细
171,601021,春秋航空,0.86,54.54,3145.18,2024年4季度股票投资明细
172,600153,建发股份,0.77,269.3,2833.04,2024年4季度股票投资明细
173,600104,上汽集团,0.59,103.83,2155.51,2024年4季度股票投资明细
174,603916,苏博特,0.55,267.97,1999.03,2024年4季度股票投资明细
175,688019,安集科技,0.54,14.2,1979.34,2024年4季度股票投资明细
176,002847,盐津铺子,0.54,31.34,1961.88,2024年4季度股票投资明细
177,002594,比亚迪,0.52,6.77,1913.61,2024年4季度股票投资明细
178,002533,金杯电工,0.52,193.46,1903.61,2024年4季度股票投资明细
179,000089,深圳机场,0.52,274.18,1889.1,2024年4季度股票投资明细
180,600760,中航沈飞,0.52,37.24,1888.81,2024年4季度股票投资明细
181,688475,萤石网络,0.51,62.35,1882.39,2024年4季度股票投资明细
182,600183,生益科技,0.51,77.11,1854.5,2024年4季度股票投资明细
183,688281,华秦科技,0.5,19.54,1818.85,2024年4季度股票投资明细
184,601689,拓普集团,0.49,36.54,1790.36,2024年4季度股票投资明细
185,688111,金山办公,0.49,6.25,1789.02,2024年4季度股票投资明细
186,300014,亿纬锂能,0.49,38.02,1777.01,2024年4季度股票投资明细
187,688596,正帆科技,0.48,49.0,1741.87,2024年4季度股票投资明细
188,002465,海格通信,0.45,151.54,1663.91,2024年4季度股票投资明细
189,300633,开立医疗,0.45,56.0,1645.84,2024年4季度股票投资明细
190,688789,宏华数科,0.44,24.51,1627.23,2024年4季度股票投资明细
191,688153,唯捷创芯,0.44,47.69,1595.78,2024年4季度股票投资明细
192,300820,英杰电气,0.42,27.63,1526.56,2024年4季度股票投资明细
193,600026,中远海能,0.41,128.34,1488.74,2024年4季度股票投资明细
194,002459,晶澳科技,0.4,106.01,1457.64,2024年4季度股票投资明细
195,301031,中熔电气,0.23,8.24,857.12,2024年4季度股票投资明细
196,002637,赞宇科技,0.22,82.96,817.16,2024年4季度股票投资明细
197,603816,顾家家居,0.17,22.96,633.24,2024年4季度股票投资明细
198,300474,景嘉微,0.15,6.68,559.77,2024年4季度股票投资明细
199,000063,中兴通讯,0.11,10.25,414.1,2024年4季度股票投资明细
200,301363,美好医疗,0.07,7.69,249.31,2024年4季度股票投资明细
201,688531,日联科技,0.05,4.13,196.6,2024年4季度股票投资明细
202,301626,苏州天脉,0.0,0.1,6.3,2024年4季度股票投资明细
203,688615,合合信息,0.0,0.03,4.79,2024年4季度股票投资明细
204,688708,佳驰科技,0.0,0.08,3.82,2024年4季度股票投资明细
205,688726,拉普拉斯,0.0,0.1,3.24,2024年4季度股票投资明细
206,001391,国货航,0.0,0.47,3.19,2024年4季度股票投资明细
207,301551,无线传媒,0.0,0.07,2.82,2024年4季度股票投资明细
208,603072,天和磁材,0.0,0.23,2.77,2024年4季度股票投资明细
209,301522,上大股份,0.0,0.08,2.03,2024年4季度股票投资明细
210,301556,托普云农,0.0,0.03,1.58,2024年4季度股票投资明细
211,301631,壹连科技,0.0,0.02,1.56,2024年4季度股票投资明细
212,301606,绿联科技,0.0,0.04,1.45,2024年4季度股票投资明细
213,301571,国科天成,0.0,0.04,1.43,2024年4季度股票投资明细
214,301622,英思特,0.0,0.03,1.37,2024年4季度股票投资明细
215,301608,博实结,0.0,0.02,1.2,2024年4季度股票投资明细
216,301613,新铝时代,0.0,0.03,1.15,2024年4季度股票投资明细
217,301586,佳力奇,0.0,0.02,1.14,2024年4季度股票投资明细
218,688710,益诺思,0.0,0.03,1.11,2024年4季度股票投资明细
219,301617,博苑股份,0.0,0.03,1.01,2024年4季度股票投资明细
220,301603,乔锋智能,0.0,0.02,0.98,2024年4季度股票投资明细
221,301607,富特科技,0.0,0.03,0.93,2024年4季度股票投资明细
222,603194,中力股份,0.0,0.03,0.82,2024年4季度股票投资明细
223,301552,科力装备,0.0,0.01,0.81,2024年4季度股票投资明细
224,001279,强邦新材,0.0,0.03,0.74,2024年4季度股票投资明细
225,603395,红四方,0.0,0.02,0.55,2024年4季度股票投资明细
226,603207,小方制药,0.0,0.02,0.49,2024年4季度股票投资明细
227,603310,巍华新材,0.0,0.03,0.46,2024年4季度股票投资明细
228,603091,众鑫股份,0.0,0.01,0.42,2024年4季度股票投资明细
229,603019,中科曙光,0.0,0.01,0.4,2024年4季度股票投资明细
230,603350,安乃达,0.0,0.01,0.38,2024年4季度股票投资明细
231,603285,键邦股份,0.0,0.01,0.29,2024年4季度股票投资明细
232,002241,歌尔股份,0.0,0.01,0.16,2024年4季度股票投资明细
233,300487,蓝晓科技,0.0,0.0,0.07,2024年4季度股票投资明细
234,603278,大业股份,0.0,0.01,0.04,2024年4季度股票投资明细
